,Datetime,Text
25,2022-01-29 22:35:57+00:00,My favourite #Eeveelution is the adorable #Leafeon 🥰🍃 #Pokemon #PokemonTCG #PokemonTradingCardGame #Pokemon25 #PokemonCelebrations #pokemoncommunity https://t.co/xqpkbAxfWX
26,2022-01-29 22:33:35+00:00,Some beautiful #Glaceon cards 😍😍❄️ including new VStar 🥰 #Pokemon #PokemonTCG #PokemonTradingCardGame #Eeveelutions #Pokemon25 #PokemonCelebrations https://t.co/hxfS1kNyql
27,2022-01-29 15:43:53+00:00,"After last night's stream, 97 packs of #pokemontcg #pokemoncelebrations  (or ~120 including friend's that opened w me) and no Zard lmao 
Can anyone help a loser out?"
28,2022-01-29 13:37:23+00:00,These jumbo #eeveelution cards are absolutely gorgeous. Works of art 😍😍🥰 #Pokemon #PokemonTCG #PokemonTradingCardGame #Pokemon25 #PokemonCelebrations https://t.co/WlUeLDfKqK
29,2022-01-29 00:03:08+00:00,"Finally got my hand (actually no as still packed) on this beauty! I am so so happy to have it! The flash of the camera make the card electric ⚡️ love it! 
Like and follow to get the Gold Charizard! 

#pokemon #pokémon #pokemoncards #pokemoncelebrations #… https://t.co/XedPa8YEhW https://t.co/ALpeabRB1a"
30,2022-01-28 17:29:08+00:00,"[$49.99]
Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/xx51lM82u0

12:28:37.6320 PM EST #Ad

https://t.co/HDKLCZsz8d"
31,2022-01-28 17:29:08+00:00,"[$49.99]
Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/R5Aq7JJKXB

12:28:37.6320 PM EST #Ad

https://t.co/R6TlK16s2B"
32,2022-01-28 17:27:53+00:00,"[$8.99]
Pokémon - Pokemon TCG: Celebrations Mini Tins
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/Ow6ZFaWb9I

12:27:22.8310 PM EST #Ad

https://t.co/fZirVzrc8l"
33,2022-01-28 17:27:53+00:00,"[$8.99]
Pokémon - Pokemon TCG: Celebrations Mini Tins
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/XZkc7XSwnT

12:27:22.8310 PM EST #Ad

https://t.co/wW9FUeom7O"
34,2022-01-28 06:09:03+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/xx51lMpDly

01:08:33.0060 AM EST #Ad

https://t.co/HDKLCZaXJD"
35,2022-01-28 06:09:03+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/R5Aq7JJKXB

01:08:33.0060 AM EST #Ad

https://t.co/R6TlK16s2B"
36,2022-01-28 04:58:43+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/R5Aq7JJKXB

11:58:13.2270 PM EST #Ad

https://t.co/R6TlK16s2B"
37,2022-01-28 04:58:43+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/xx51lM82u0

11:58:13.2270 PM EST #Ad

https://t.co/HDKLCZsz8d"
38,2022-01-27 23:36:04+00:00,"Professor's research 😎✨ Oak 💗

#pokemoncelebrations #pokemon #pokemontcg #trainon #pokémon #pokémontcg #professoroak https://t.co/pKHjvB2VIV"
39,2022-01-27 23:29:56+00:00,"Pokémon celebrations 😎

#pokemoncelebrations #pokemon #pokemontcg #trainon #pokémon #pokémontcg https://t.co/6EaWVNRUIk"
40,2022-01-27 18:10:07+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

01:09:36.6260 PM EST #Ad

https://t.co/UAR59rU4NR"
41,2022-01-27 18:04:15+00:00,My first Charizard! #charizard #pokemoncelebrations @_Pokedrops  @PokemonTCGDrops  thanks for the stock updates! https://t.co/rtyX0GUQ01
42,2022-01-27 15:23:37+00:00,"Pokemon TCG: Celebrations Prime Collection - $49.99

https://t.co/XHw2I5hGH6

#Pokemon #PokemonTCG #PokemonCardgame #PokemonCelebrations #Pokemon25"
43,2022-01-27 13:50:09+00:00,"#ThrowbackThursday when I pulled the golden Mew!!! 

#PokemonTCG #Pokemon #GoldenMew #Mew #PokemonCelebrations https://t.co/zZ0bOMgkl9"
44,2022-01-27 11:06:10+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

06:05:40.3020 AM EST #Ad

https://t.co/UAR59rU4NR"
45,2022-01-27 11:06:10+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

06:05:40.3020 AM EST #Ad

https://t.co/QQlXeyjfcY"
46,2022-01-27 10:49:04+00:00,They're here! #pokemoncelebrations https://t.co/AnKnH3732I
47,2022-01-27 08:02:56+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

03:02:22.2400 AM EST #Ad

https://t.co/QQlXeyjfcY"
48,2022-01-27 08:02:55+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

03:02:22.2400 AM EST #Ad

https://t.co/UAR59rU4NR"
49,2022-01-27 07:56:00+00:00,"#Giveaway

Trying to grow my YT so doing 1 giveaway every single month of 2022 😁

Enter by RT+liking, following &amp; subscribing to my YT channel!

Jan's winner randomly selected on 1st Feb 2022

#Pokemon #PokemonCelebrations #PokemonTCG #TCG #TCGCardSearch #Celebrations #Pokemon25 https://t.co/9OEAEWOtM1"
50,2022-01-27 05:01:53+00:00,First time opening Pokemon cards since  1999 think I did pretty well. #pokemontcg #Pokemon25 #pokemoncelebrations https://t.co/i0PuTO2pap
51,2022-01-27 03:09:07+00:00,"Finally got my Pikachu VMax.

Now to find a great place to put it.
#pokemon #PokemonLEGENDS #PokemonTCG #pokemoncelebrations #Pikachu https://t.co/1YD2YnPvWF"
52,2022-01-26 22:14:31+00:00,Was showing jasper tonight my earliest memory of pokermon. Anyone else remember this 🤣 #antanddec #smtv #pikachu #pokemon #pokemoncelebrations #pokemon25 #pokemoncards https://t.co/vFa7kOjUd7
53,2022-01-26 20:05:48+00:00,"One of the best Birthday gifts! From my lovely wife. A bit early because it got cold, but great gift! 

#pokemon #pokemon25 #pokemon25thanniversary #pokemoncelebrations https://t.co/TT6Ta3IPFd"
54,2022-01-26 20:03:54+00:00,"What a crazy opening that happened last Monday on https://t.co/LX3Ni4qm4n ! Can’t believe I got a alternate full art Moltres 🦅🔥

Like and follow for more PokeContent! 

#pokemoncelebrations #pokemon #pokémon #pokemoncards #pokemontcg #pokemonuk #pokemo… https://t.co/9aPXVMxFYE https://t.co/f8m8bD16R4"
55,2022-01-26 18:49:33+00:00,"I’m so happy right now, I’ve finally found the last tin! Thanks @asda #pokemon #pokemoncelebrations #kanto #charmander #bulbasaur #squirtle #pokemoncards #pokemoncollection #pokemoncollector https://t.co/4SZqBXJTjU"
56,2022-01-26 16:58:45+00:00,Midweek FAQ: We do grade metal celebration cards - see this great review we got ! https://t.co/mTUloSdwF2 #ai #robograding #pokemoncelebrations
57,2022-01-26 16:25:52+00:00,When shall I open this bad boy live on stream? #pokemon #pokemontcg #pokemoncelebrations #twitch #twitchstreamer #smallstreamer https://t.co/icuVaBj9qn
58,2022-01-26 11:37:47+00:00,Debating if to buy a #PokemonCelebrations TCG tin or to be sensible.
59,2022-01-26 07:50:28+00:00,"I almost cried when I pulled it! 
🤩🥲✨ Link in bio. 

#celebrations #pokemoncelebrations #Pokemon #Mew #pokemonCards https://t.co/xWYDss82KX"
60,2022-01-26 04:21:27+00:00,Pulls from celebrations #pokemon #pokemoncelebrations #TikTok https://t.co/Pcxg9xewQM
61,2022-01-26 00:46:01+00:00,I found some nice cards today! #Pokemon #PokemonCards #PokemonCelebrations #PokemonTCG @PokemonUnite #PokemonCollectors @Pokemon #Umbreon https://t.co/EH5yP8ozgK
62,2022-01-25 23:24:03+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

06:23:32.3160 PM EST #Ad

https://t.co/QQlXeyjfcY"
63,2022-01-25 23:24:03+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

06:23:32.3160 PM EST #Ad

https://t.co/UAR59rU4NR"
64,2022-01-25 22:29:39+00:00,Maybe I should make one of those resin displays @PokemonTCGDrops @DblocDunks #pokemontcg #pokemoncelebrations https://t.co/AKwJ8vijYA
65,2022-01-25 22:19:44+00:00,"Gosh!!!! 😍🤯 

#pokemoncelebrations #Pokémon #pokemon #Pokemontcg #pokémontcg #mimikyu https://t.co/ubHb1LRY85"
66,2022-01-25 20:43:32+00:00,I PULLED IT!!! #PokemonTCG #pokemonCards #Pokemon #PokemonCelebrations https://t.co/j6462dncf6
67,2022-01-25 20:00:02+00:00,Venga que nos vamos https://t.co/s8HuiCxseT vamos a sacar los últimos pulls de pokemon celebrations y a charlar @streamr_es @streamsspain #pokemontcg #pokemoncelebrations #opening
68,2022-01-25 17:59:01+00:00,Special pulls celebrations classic collection p2  #pokemon #pokemoncelebrations #celebrations #elitetrainerbox #pokemontcg #pokemoncards #pokemoncollector https://t.co/Gmy7q6R6zQ
69,2022-01-25 17:58:58+00:00,Special pulls celebrations classic collection p1  #pokemon #pokemoncelebrations #celebrations #elitetrainerbox #pokemontcg #pokemoncards #pokemoncollector https://t.co/HoB84KXaPx
70,2022-01-25 02:12:15+00:00,we’re bouta crack open a #pokemoncelebrations #etb ! I.G. — @/amuletcoinclub! let’s hang out! #smallstreamers #pokemon #pokemonCards #live
71,2022-01-25 01:19:34+00:00,"Pokemon Card Openings! Celebrations and Battle Styles! #PokemonTCG #PokemonCelebrations #TwitchStreamers #pokemonCards 
https://t.co/HyDzzfGxwj"
72,2022-01-25 00:54:41+00:00,"Received my haul from @FlareTCG’s first claim sale, what an awesome stack! Pleasure doing business with ya, and hope you have another sale soon!

#PokemonTCG #PokemonCelebrations #Pokemon https://t.co/moiLh0vDB0"
73,2022-01-24 23:54:02+00:00,"Got these in the mail today Entei Neo Discovery Black star Promo Card &amp; a Pokemon Celebrations Mini Tin. 
#90sKid #Nostalgia #Childhood #Pokemon #TCG #PokemonCards  #Entei #Jhoto #NeoDiscovery #PokemonCelebrations https://t.co/EhheINUXKi"
74,2022-01-24 20:12:39+00:00,"I found a very special pokecoin 🤯

#Pokémon #Pokemontcg #pokecoins #pokemoncelebrations https://t.co/D7yA85ANnc"
75,2022-01-24 18:09:08+00:00,"Anyone interested ?
#Pokemon
#PokemonCelebrations #PokeFamilia https://t.co/8g7wOoM0co"
76,2022-01-24 18:01:55+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/R5Aq7JJKXB

01:01:21.7480 PM EST #Ad

https://t.co/R6TlK16s2B"
77,2022-01-24 18:01:55+00:00,"Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/xx51lM82u0

01:01:21.7480 PM EST #Ad

https://t.co/HDKLCZsz8d"
78,2022-01-24 15:48:35+00:00,"Pokemon TCG: 25th Anniversary Pikachu V Union Collection - $29.99

https://t.co/7AySRsP5yO

#Pokemon #PokemonTCG #PokemonCardGame #PokemonCelebrations"
79,2022-01-24 14:44:08+00:00,"If you live in Canada, https://t.co/I0GlVbWyQE has these all on sale right now😉 #pokemoncelebrations #PokemonTCG #pokemonCanada https://t.co/1nS3vJrsKG"
80,2022-01-24 10:55:28+00:00,That feeling that you get when you have under 100 subs on YouTube and that one viewer gets all the codes from your Pokémon booster pack openings. 😒 #pokemontcg #codecards #poketubers #tradingcardgame #pokemoncelebrations #pokemon25
81,2022-01-24 04:56:23+00:00,Check out #Pokémon Unwrapd's video! #pokemoncelebrations #TikTok https://t.co/Su2YwaUU13
82,2022-01-23 22:45:22+00:00,"Other celebrations tins were so good we had to open this one right away.  Eternatus VMax is me so we are happy with that.  Few more celebrations cards and we will be finished
#pokemon #pokemontcg #PokemonCelebrations https://t.co/g4C6Gva43k"
83,2022-01-23 06:48:11+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

01:47:39.9580 AM EST #Ad

https://t.co/QQlXeyjfcY"
84,2022-01-23 06:48:11+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

01:47:39.9580 AM EST #Ad

https://t.co/UAR59rU4NR"
85,2022-01-23 04:51:07+00:00,Quilava 46/111 &amp; 47/111 Uncommon 2000 Neo Genesis Unlimited Pokemon Cards NM #pokemon #pokemoncelebrations #pokedex #pokemontcg #anime #pokemoncards #ebay #pokemon25 #pokemoncommunity #neogenesis  https://t.co/ll2Y8vTFfl
86,2022-01-23 03:51:14+00:00,Luck was on my side tonight: This was from ONE ETB… are you kidding me?! #pokemon #pokemonpulls #pokemoncelebrations https://t.co/26ODKt6atK
87,2022-01-23 03:37:15+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

10:36:44.9190 PM EST #Ad

https://t.co/UAR59rU4NR"
88,2022-01-23 03:37:15+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

10:36:44.9190 PM EST #Ad

https://t.co/QQlXeyjfcY"
89,2022-01-22 22:34:37+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

05:34:05.5940 PM EST #Ad

https://t.co/UAR59rU4NR"
90,2022-01-22 22:34:37+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

05:34:05.5940 PM EST #Ad

https://t.co/QQlXeyjfcY"
91,2022-01-22 20:23:50+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

03:23:17.7500 PM EST #Ad

https://t.co/QQlXeyjfcY"
92,2022-01-22 20:23:50+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

03:23:17.7500 PM EST #Ad

https://t.co/UAR59rU4NR"
93,2022-01-22 18:58:36+00:00,More POKEMON packs arrived today! 🥰🥳 #Pokemon #PokemonCards #PokemonCelebrations #PokemonTCG @PokemonUnite #PokemonCollectors @Pokemon #DarknessAblaze #VividVoltage #BattleStyles #FusinStrike #SwordAndShield https://t.co/CAGBmzJpN1
94,2022-01-22 15:44:10+00:00,"My pulls from today. Nothing new to add to the collection but always happy to take in some classic cards. 😊

#pokemon #PokemonCelebrations #PokemonTCG #PokemonTradingCardGame https://t.co/o4Z0qd9H7x"
95,2022-01-22 15:18:45+00:00,"Finally completed my #PokemonCelebrations promo card set🙌🏽

#pokemon #PokemonTCG #PokemonTradingCardGame https://t.co/cmXosgUVO5"
96,2022-01-22 15:10:21+00:00,"Heres the last promo box that I need for #PokemonCelebrations ! Don’t let me down Zacian. 🗡🐶

#pokemon #PokemonTCG #PokemonTradingCardGame https://t.co/8CbBoUUm8v"
97,2022-01-22 13:38:46+00:00,"America LUNA yeah!!! https://t.co/fkm0AM5nOH via @YouTube 

Are these tin American?

#pokemon
#pokemontcg
#pokemoncards
#pokemoncollector
#pokemoncelebrations"
98,2022-01-22 07:57:56+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/5lewp5Z4pU

02:57:25.4860 AM EST #Ad

https://t.co/UAR59rU4NR"
99,2022-01-22 07:57:56+00:00,"[$19.99]
Pokémon - Pokemon TCG: Celebrations Collections Box
#pokemonCards #celebrations #pokemonCelebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/ict7NfqETL

02:57:25.4860 AM EST #Ad

https://t.co/QQlXeyjfcY"
100,2022-01-22 05:00:20+00:00,"[$49.99]
Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/xx51lM82u0

11:59:50.1580 PM EST #Ad

https://t.co/HDKLCZsz8d"
101,2022-01-22 05:00:20+00:00,"[$49.99]
Pokémon - Pokemon TCG: Celebrations Elite Trainer Box
#pokemonCards #pokemonCelebrations #celebrations
Source: Best Buy checker
Reason: Check Stores button

🛒: https://t.co/R5Aq7JJKXB

11:59:50.1580 PM EST #Ad

https://t.co/R6TlK16s2B"
102,2022-01-22 03:00:36+00:00,"Celebrations Lunch Box Opening. Got no new cards sadly except the Promos. Also got lucky and got the Birthday Pikachu Card for my friend’s birthday (Card Not Featured in Pic). Shoutout to my friend @Jephzilla for the special Birthday Card. 

#PokemonTCG #PokemonCelebrations https://t.co/u22wIUVTTj"
103,2022-01-22 00:49:36+00:00,"Sale price update , birthday pikachu #Pikachu #pokemon #pokemoncards #pokemoncelebrations 
https://t.co/BJfyBPLItv"
104,2022-01-21 22:26:55+00:00,"Got some more Funko Pops from Target. I'm thinking about painting and customizing my own Funko Pops most likely paint a Shiny Pokemon Funko.
#90skid #Nostalgia #Pokemon #Childhood #StarWars #PokemonCelebrations #C3PO  #FunkoPop #Squirtle #Target https://t.co/9Lc97aCuad"
105,2022-01-21 20:06:54+00:00,"HUGE NEWS
MASSIVE UPC CELEBRATIONS DROP!
Distributor lowered price, which mean I can!
Special order only! 2 GOLD CARDS IN HERE! This box is valued at over $1200
#upc #pokemontcg #tcgplayer #pokemoncelebrations
https://t.co/R3Inbk5W3q https://t.co/UDMBYpwPeQ"
106,2022-01-21 19:00:02+00:00,"NEW POKÉMON CELEBRATIONS are in!
Check out the PIKACHU BOXED SET WE GOT IN! Open 12-9pm

#pokemoncelebrations #pokemon #miamicomics #pikachu #charmeleon @ The Goblins Heist https://t.co/uiRf3J7Z0w"
107,2022-01-21 16:34:29+00:00,"NEW GIVEAWAY!! 🔥🤙🏼

BDay Pikachu at 2k Followers
Venusaur at 2.5k Followers
Blastoise at 3k Followers

•Like 👍🏼
•Follow 🙌🏼
•Retweet 🔁
•Tag a buddy who wants in! 😁

Let’s push for 3K! 
#PokemonCelebrations 
#Giveaway https://t.co/BSHhEysWCn"
108,2022-01-21 15:27:24+00:00,"Yes !! Thanks @chaoscards for the heads up. Jasper was well pleased to bag one of these today, can't wait to receive it. He is clearly more excited than me !
#pokemonuk #pokemon #pokemon25 #pokemoncelebrations https://t.co/kiyI6ZVXV9"
109,2022-01-21 14:20:37+00:00,"BACK IN STOCK
LIMITED QUANTITY (ONE PER CUSTOMER)
Pokemon TCG 25th Anniversary Celebrations Collectors Chest
Available in store or by mail order- DM or Email sheffield@forbiddenplanet.co.uk for details.
#pokemon #PokemonCelebrations #pikachu #FPI #shefffield #sheffieldhallam https://t.co/y5c9nLFzUK"
110,2022-01-21 14:10:17+00:00,"Converse x Pokémon 25th Celebration Hoodie - $75.00

https://t.co/ZDtZob9wz7

#Pokemon #PokemonTCG #PokemonCardGame #PokemonCelebrations #Pokemon25 #PokemonLEGENDS https://t.co/JLjqk3YP1s"
